1,,,,30151,2060,1042,81,7,5,339,15,11,RB,RB,RB,,,
2,,,,57464,2359,1275,182,14,3,241,12,5,LF,LF,LF,,,
3,,,,39461,1666,757,269,28,13,474,15,10,RB,RB,RB,,,
4,,,,17384,2884,717,263,35,15,218,30,16,RB,RB,RB,,,
5,,,,35521,2954,1921,328,20,15,472,22,16,RB,RB,RB,,,
6,,,,26027,2362,697,208,22,11,321,31,14,RB,RB,RB,,,
7,,,,18041,1468,544,707,22,7,191,21,10,RB,RB,RB,,,
8,,,,17258,964,255,112,16,3,177,17,5,RB,RB,RB,,,
9,,,,25574,1916,120,270,25,3,327,19,4,RB,RB,RB,,,
10,,,,24367,1380,382,141,20,12,159,19,8,RB,RB,RB,,,
11,,,,29321,2532,582,289,21,5,362,13,5,LF,LF,LF,,,
12,,,,19164,2896,804,204,29,7,266,23,5,RB,RB,RB,,,
13,,,,35477,1643,335,425,14,4,531,16,5,RB,RB,RB,,,
14,,,,2912,1098,187,41,10,2,13,10,2,RB,RB,RB,,,
15,,,,24673,2546,778,366,35,12,446,31,11,RB,RB,RB,,,
16,,,,21183,1729,633,240,27,4,231,16,5,RB,RB,RB,,,
17,,,,59781,2211,794,900,32,9,983,34,16,LM,LM,LM,,,
18,,,,30038,3556,800,284,44,13,259,40,12,RB,RB,RB,,,
19,,,,33051,2272,418,249,20,10,362,25,13,RB,RB,RB,,,
20,,,,59962,2321,715,744,21,8,492,21,8,RB,RB,RB,,,
21,,,,34001,2607,1090,373,25,5,403,24,6,RB,RB,RB,,,
22,,,,27048,1638,287,338,18,5,403,16,5,RB,RB,RB,,,
23,,,,34962,1634,1090,136,8,2,561,24,8,RB,RB,RB,,,
24,,,,20072,1595,337,245,23,8,327,24,8,RB,RB,RB,,,
25,,,,29531,1581,318,264,11,7,361,12,5,RB,RB,RB,,,
26,,,,41436,1694,656,325,24,7,398,23,7,RB,RB,RB,,,
27,,,,54851,1991,1131,489,16,2,842,13,14,RB,RB,RB,,,
28,,,,32422,2755,775,318,29,4,560,16,5,RB,RB,RB,,,
29,,,,26081,1548,391,291,12,2,359,7,7,RB,RB,RB,,,
30,,,,2151,2376,296,284,32,6,213,28,7,RB,RB,RB,,,
31,,,,31428,3202,843,187,24,8,298,21,9,RM,RB,RB,,,
32,,,,70253,2574,1483,692,34,28,1028,31,21,RB,RB,RB,,,
33,,,,63261,4770,446,709,38,15,705,35,3,YRB,RB,RB,,,
34,,,,88375,4384,986,524,32,12,822,38,19,RB,RB,RB,,,
35,,,,30781,2332,864,280,27,9,361,31,17,RB,ORB,RB,,,
36,,,,45671,4444,582,431,48,4,602,41,5,LF,LF,LF,,,
37,,,,33368,1779,987,461,20,9,319,12,8,RB,RB,RB,,,
38,,,,827,2893,482,621,14,9,600,23,6,RB,RB,RB,,,
39,,,,32278,4576,672,360,39,6,428,46,8,RB,RB,RB,,,
40,,,,67664,2200,2705,796,23,24,1137,31,21,RB,RB,RB,,,
41,,,,34636,1466,1078,321,8,4,381,9,5,RB,RB,RB,,,
42,,,,50414,1704,699,486,13,6,663,14,7,LF,LF,LF,,,
43,,,,36243,2856,271,188,20,7,291,19,7,LF,LF,LF,,,
44,,,,55201,2904,1480,450,36,15,714,34,20,RB,RB,RB,,,
45,,,,30073,1932,832,281,25,14,233,21,14,RB,RB,RB,,,
46,,,,34518,822,315,410,12,5,571,6,9,RB,RB,RB,,,
47,,,,74371,2641,1736,264,13,5,415,18,7,RB,RB,RB,,,
48,,,,26987,1649,703,204,9,4,190,9,6,RB,RB,RB,,,
49,,,,47686,2644,2048,474,30,11,681,30,18,RB,RB,RB,,,
50,,,,23921,1267,814,189,15,15,349,12,10,RB,RB,RB,,,
51,,,,26379,2304,971,135,32,10,280,30,13,RB,RB,RB,,,
52,,,,33340,2011,389,325,14,3,348,19,2,RB,RB,RB,,,
53,,,,23304,1448,1627,240,20,9,340,29,12,RB,RB,RB,,,
