1,,,,22475,201,0,0,0,0,1,0,0,,RB,RB,,,
2,,,,48808,1076,0,566,4,0,660,8,0,,LB,LB,,,
3,,,,68037,529,0,146,13,0,756,39,0,,,,,,
4,,,,84928,291,0,274,5,0,422,1,0,LB,LB,RB,,,
5,,,,49721,1129,0,238,10,0,747,4,0,RB,RB,RB,,,
6,,,,43441,933,0,379,7,0,516,15,0,LB,RB,RB,,,
7,,,,7737,903,0,233,4,0,299,4,0,RB,RB,RB,,,
8,,,,34617,1007,0,0,7,0,0,5,0,RB,RB,RB,,,
9,,,,38906,828,0,329,7,0,330,1,0,RB,RB,RB,,,
10,,,,38103,1557,0,262,9,0,336,2,0,RB,RB,RB,,,
11,,,,41715,327,0,382,6,0,425,3,0,RB,RB,RB,,,
12,,,,41921,343,0,314,8,0,597,5,0,RB,RB,RB,,,
13,,,,6649,2637,0,187,9,0,0,0,0,RB,RB,RB,,,
14,,,,2113,835,0,95,9,0,0,0,0,RB,RB,RB,,,
15,,,,36071,840,0,464,14,0,206,1,0,RB,RB,RB,,,
16,,,,36978,3232,0,306,8,0,240,5,0,RB,RB,RB,,,
17,,,,55000,4401,0,316,9,0,320,2,0,BM,BM,RB,,,
18,,,,95530,9098,0,398,8,0,743,3,0,BM,RB,RB,,,
19,,,,32624,2079,0,404,0,0,374,1,0,BM,RB,RB,,,
20,,,,32425,846,0,297,1,0,386,0,0,BM,BM,RB,,,
21,,,,50688,876,0,723,5,0,529,1,0,,,,,,
22,,,,36747,921,0,430,18,0,386,9,0,BM,BM,RB,,,
23,,,,32691,1840,0,395,8,0,279,0,0,BM,BM,RB,,,
24,,,,34571,640,0,305,15,0,376,4,0,BM,BM,RB,,,
25,,,,49911,462,0,0,10,0,0,2,0,BM,BM,RB,,,
26,,,,18716,175,0,0,0,0,0,0,0,BM,BM,RB,,,
27,,,,25381,1502,0,0,0,0,0,0,0,BM,BM,RB,,,
28,,,,47796,1280,0,318,20,0,242,2,0,BM,BM,RB,,,
29,,,,44590,1392,0,374,14,0,474,10,0,BM,BM,RB,,,
30,,,,35700,836,0,529,18,0,460,7,0,RB,BM,RB,,,
31,,,,36689,947,0,195,7,0,598,4,0,BM,BM,RB,,,
32,,,,25011,322,0,360,3,0,321,3,0,BM,RB,RB,,,
33,,,,0,0,0,0,0,0,0,0,0,BM,BM,RB,NO METERS AT THIS SPACE !!,,
34,,,,56864,1297,0,262,8,0,473,2,0,BM,BM,RB,,,
35,,,,41793,1440,0,552,3,0,457,8,0,RB,RB,RB,,,
36,,,,32854,585,0,40,7,0,323,5,0,RB,RB,RB,,,
37,,,,3450,5899,0,247,0,0,260,0,0,RB,RB,RB,,,
38,,,,32199,995,0,383,11,0,240,5,0,RB,RB,RB,,,
39,,,,57043,1723,0,545,9,0,572,11,0,RB,RB,RB,,,
40,,,,24457,706,0,0,8,0,0,4,0,RB,RB,RB,,,
41,,,,15844,288,0,0,0,0,0,0,0,RB,RB,RB,,,
42,,,,4888,3353,0,268,12,0,324,7,0,RB,RB,RB,,,
43,,,,9901,455,0,230,3,0,247,3,0,RB,RB,RB,,,
44,,,,245,0,0,0,0,0,0,0,0,RB,RB,RB,,,
45,,,,80130,242,0,382,7,0,337,2,0,RB,RB,RB,,,
46,,,,17053,727,0,136,12,0,0,0,0,RB,RB,RB,,,
47,,,,41143,858,0,203,9,0,524,1,0,RB,RB,RB,,,
48,,,,7445,1171,0,416,12,0,451,6,0,RB,RB,RB,,,
49,,,,74425,575,0,340,0,0,370,0,0,RB,RB,RB,,,
50,,,,31216,404,0,11,0,0,10,0,0,RB,RB,RB,,,
