129,6/1/2016,5,/S,SEWER,,14.35,,14.35
129,6/1/2016,6,/T,TRASH,,15.21,,15.21
13,6/1/2016,4,/R,RENT,,760.20,,760.20
13,6/1/2016,5,/S,SEWER,,14.35,,14.35
13,6/1/2016,6,/T,TRASH,,15.21,,15.21
130,6/1/2016,4,/R,RENT,,745.29,,745.29
130,6/1/2016,5,/S,SEWER,,14.35,,14.35
130,6/1/2016,6,/T,TRASH,,15.21,,15.21
131,6/1/2016,4,/R,RENT,,721.88,,721.88
131,6/1/2016,5,/S,SEWER,,14.35,,14.35
131,6/1/2016,6,/T,TRASH,,15.21,,15.21
132,6/1/2016,4,/R,RENT,,748.10,,748.10
132,6/1/2016,5,/S,SEWER,,14.35,,14.35
132,6/1/2016,6,/T,TRASH,,15.21,,15.21
133,6/1/2016,4,/R,RENT,,760.20,,760.20
133,6/1/2016,5,/S,SEWER,,14.35,,14.35
133,6/1/2016,6,/T,TRASH,,15.21,,15.21
134,6/1/2016,4,/R,RENT,,760.20,,760.20
134,6/1/2016,5,/S,SEWER,,14.35,,14.35
134,6/1/2016,6,/T,TRASH,,15.21,,15.21
135,6/1/2016,4,/R,RENT,,752.96,,752.96
135,6/1/2016,5,/S,SEWER,,14.35,,14.35
135,6/1/2016,6,/T,TRASH,,15.21,,15.21
136,6/1/2016,4,/R,RENT,,749.85,,749.85
136,6/1/2016,5,/S,SEWER,,14.35,,14.35
136,6/1/2016,6,/T,TRASH,,15.21,,15.21
137,6/1/2016,4,/R,RENT,,760.20,,760.20
137,6/1/2016,5,/S,SEWER,,14.35,,14.35
137,6/1/2016,6,/T,TRASH,,15.21,,15.21
138,6/1/2016,4,/R,RENT,,748.10,,748.10
138,6/1/2016,5,/S,SEWER,,14.35,,14.35
138,6/1/2016,6,/T,TRASH,,15.21,,15.21
139,6/1/2016,4,/R,RENT,,745.29,,745.29
139,6/1/2016,5,/S,SEWER,,14.35,,14.35
139,6/1/2016,6,/T,TRASH,,15.21,,15.21
14,6/1/2016,4,/R,RENT,,760.20,,760.20
14,6/1/2016,5,/S,SEWER,,14.35,,14.35
14,6/1/2016,6,/T,TRASH,,15.21,,15.21
140,6/1/2016,4,/R,RENT,,741.06,,741.06
140,6/1/2016,5,/S,SEWER,,14.35,,14.35
140,6/1/2016,6,/T,TRASH,,15.21,,15.21
141,6/1/2016,4,/R,RENT,,748.10,,748.10
141,6/1/2016,5,/S,SEWER,,14.35,,14.35
141,6/1/2016,6,/T,TRASH,,15.21,,15.21
142,6/1/2016,4,/R,RENT,,748.10,,748.10
142,6/1/2016,5,/S,SEWER,,14.35,,14.35
142,6/1/2016,6,/T,TRASH,,15.21,,15.21
143,6/1/2016,4,/R,RENT,,748.10,,748.10
143,6/1/2016,5,/S,SEWER,,14.35,,14.35
143,6/1/2016,6,/T,TRASH,,15.21,,15.21
144,6/1/2016,4,/R,RENT,,748.10,,748.10
144,6/1/2016,5,/S,SEWER,,14.35,,14.35
144,6/1/2016,6,/T,TRASH,,15.21,,15.21
145,6/1/2016,4,/R,RENT,,760.20,,760.20
145,6/1/2016,5,/S,SEWER,,14.35,,14.35
145,6/1/2016,6,/T,TRASH,,15.21,,15.21
146,6/1/2016,4,/R,RENT,,748.10,,748.10
146,6/1/2016,5,/S,SEWER,,14.35,,14.35
146,6/1/2016,6,/T,TRASH,,15.21,,15.21
147,6/1/2016,4,/R,RENT,,760.20,,760.20
147,6/1/2016,5,/S,SEWER,,14.35,,14.35
