128,6/1/2016,5,/T,TRASH,,29.75,,29.75
128,6/1/2016,6,/S,SEWER,,51.58,,51.58
129,6/1/2016,4,/R,RENT,,635.00,,635.00
129,6/1/2016,5,/T,TRASH,,29.75,,29.75
129,6/1/2016,6,/S,SEWER,,51.58,,51.58
13,6/1/2016,4,/R,RENT,,550.00,,550.00
13,6/1/2016,5,/T,TRASH,,29.75,,29.75
13,6/1/2016,6,/S,SEWER,,51.58,,51.58
130,6/1/2016,4,/R,RENT,,560.00,,560.00
130,6/1/2016,5,/T,TRASH,,29.75,,29.75
130,6/1/2016,6,/S,SEWER,,51.58,,51.58
131,6/1/2016,4,/R,RENT,,545.00,,545.00
131,6/1/2016,5,/T,TRASH,,29.75,,29.75
131,6/1/2016,6,/S,SEWER,,51.58,,51.58
132,6/1/2016,4,/R,RENT,,575.00,,575.00
132,6/1/2016,5,/T,TRASH,,29.75,,29.75
132,6/1/2016,6,/S,SEWER,,51.58,,51.58
133,6/1/2016,4,/R,RENT,,545.00,,545.00
133,6/1/2016,5,/T,TRASH,,29.75,,29.75
133,6/1/2016,6,/S,SEWER,,51.58,,51.58
134,6/1/2016,4,/R,RENT,,615.00,,615.00
134,6/1/2016,5,/T,TRASH,,29.75,,29.75
134,6/1/2016,6,/S,SEWER,,51.58,,51.58
135,6/1/2016,4,/R,RENT,,580.00,,580.00
135,6/1/2016,5,/T,TRASH,,29.75,,29.75
135,6/1/2016,6,/S,SEWER,,51.58,,51.58
136,6/1/2016,4,/R,RENT,,575.00,,575.00
136,6/1/2016,5,/T,TRASH,,29.75,,29.75
136,6/1/2016,6,/S,SEWER,,51.58,,51.58
137,6/1/2016,4,/R,RENT,,550.00,,550.00
137,6/1/2016,5,/T,TRASH,,29.75,,29.75
137,6/1/2016,6,/S,SEWER,,51.58,,51.58
138,6/1/2016,4,/R,RENT,,555.00,,555.00
138,6/1/2016,5,/T,TRASH,,29.75,,29.75
138,6/1/2016,6,/S,SEWER,,51.58,,51.58
139,6/1/2016,4,/R,RENT,,575.00,,575.00
139,6/1/2016,5,/T,TRASH,,29.75,,29.75
139,6/1/2016,6,/S,SEWER,,51.58,,51.58
14,6/1/2016,4,/R,RENT,,580.00,,580.00
14,6/1/2016,5,/T,TRASH,,29.75,,29.75
14,6/1/2016,6,/S,SEWER,,51.58,,51.58
140,6/1/2016,4,/R,RENT,,510.00,,510.00
140,6/1/2016,5,/T,TRASH,,29.75,,29.75
140,6/1/2016,6,/S,SEWER,,51.58,,51.58
141,6/1/2016,4,/R,RENT,,525.00,,525.00
141,6/1/2016,5,/T,TRASH,,29.75,,29.75
141,6/1/2016,6,/S,SEWER,,51.58,,51.58
142,6/1/2016,4,/R,RENT,,550.00,,550.00
142,6/1/2016,5,/T,TRASH,,29.75,,29.75
142,6/1/2016,6,/S,SEWER,,51.58,,51.58
143,6/1/2016,4,/R,RENT,,539.00,,539.00
143,6/1/2016,5,/T,TRASH,,29.75,,29.75
143,6/1/2016,6,/S,SEWER,,51.58,,51.58
144,6/1/2016,4,/R,RENT,,510.00,,510.00
144,6/1/2016,5,/T,TRASH,,29.75,,29.75
144,6/1/2016,6,/S,SEWER,,51.58,,51.58
145,6/1/2016,4,/R,RENT,,550.00,,550.00
145,6/1/2016,5,/T,TRASH,,29.75,,29.75
145,6/1/2016,6,/S,SEWER,,51.58,,51.58
146,6/1/2016,4,/R,RENT,,550.00,,550.00
146,6/1/2016,5,/T,TRASH,,29.75,,29.75
146,6/1/2016,6,/S,SEWER,,51.58,,51.58
147,6/1/2016,4,/R,RENT,,560.00,,560.00
147,6/1/2016,5,/T,TRASH,,29.75,,29.75
147,6/1/2016,6,/S,SEWER,,51.58,,51.58
148,6/1/2016,4,/R,RENT,,522.00,,522.00
148,6/1/2016,5,/T,TRASH,,29.75,,29.75
148,6/1/2016,6,/S,SEWER,,51.58,,51.58
149,6/1/2016,4,/R,RENT,,600.00,,600.00
149,6/1/2016,5,/T,TRASH,,29.75,,29.75
149,6/1/2016,6,/S,SEWER,,51.58,,51.58
15,6/1/2016,4,/R,RENT,,575.00,,575.00
15,6/1/2016,5,/T,TRASH,,29.75,,29.75
15,6/1/2016,6,/S,SEWER,,51.58,,51.58
150,6/1/2016,4,/R,RENT,,550.00,,550.00
150,6/1/2016,5,/T,TRASH,,29.75,,29.75
150,6/1/2016,6,/S,SEWER,,51.58,,51.58
151,6/1/2016,4,/R,RENT,,470.00,,470.00
151,6/1/2016,5,/T,TRASH,,29.75,,29.75
151,6/1/2016,6,/S,SEWER,,51.58,,51.58
152,6/1/2016,4,/R,RENT,,550.00,,550.00
152,6/1/2016,5,/T,TRASH,,29.75,,29.75
152,6/1/2016,6,/S,SEWER,,51.58,,51.58
153,6/1/2016,4,/R,RENT,,625.00,,625.00
153,6/1/2016,5,/T,TRASH,,29.75,,29.75
153,6/1/2016,6,/S,SEWER,,51.58,,51.58
154,6/1/2016,4,/R,RENT,,544.00,,544.00
154,6/1/2016,5,/T,TRASH,,29.75,,29.75
154,6/1/2016,6,/S,SEWER,,51.58,,51.58
155,6/1/2016,4,/R,RENT,,550.00,,550.00
155,6/1/2016,5,/T,TRASH,,29.75,,29.75
155,6/1/2016,6,/S,SEWER,,51.58,,51.58
156,6/1/2016,4,/R,RENT,,557.00,,557.00
156,6/1/2016,5,/T,TRASH,,29.75,,29.75
156,6/1/2016,6,/S,SEWER,,51.58,,51.58
157,6/1/2016,4,/R,RENT,,575.00,,575.00
