1,,,,2106,29275,1031,130,30,15,0,0,0,,,,,,
2,,,,2436,56326,1279,130,30,15,0,0,0,,,,,,
3,,,,1654,38335,713,130,30,15,0,0,0,,,,,,
4,,,,2780,16230,663,130,30,15,0,0,0,,,,,,
5,,,,2969,34218,1880,130,30,15,0,0,0,,,,,,
6,,,,2393,24841,669,130,30,15,0,0,0,,,,,,
7,,,,1484,16108,533,130,30,15,0,0,0,,,,,,
8,,,,1021,16504,255,130,30,15,0,0,0,,,,,,
9,,,,1897,24452,124,130,30,15,0,0,0,,,,,,
10,,,,1397,23816,363,130,30,15,0,0,0,,,,,,
11,,,,2511,28193,575,130,30,15,0,0,0,,,,,,
12,,,,2855,18338,791,130,30,15,0,0,0,,,,,,
13,,,,1688,33977,334,130,30,15,0,0,0,,,,,,
14,,,,1175,2727,195,130,30,15,0,0,0,,,,,,
15,,,,2466,23131,744,130,30,15,0,0,0,,,,,,
